"Date","2330.TW","2317.TW","2454.TW","3231.TW","2357.TW","2379.TW","2327.TW","2881.TW","2891.TW","2885.TW","2890.TW","1102.TW","2618.TW","1216.TW","2412.TW"
2018-01-01,1.51875783084126e-22,0.00011283620507519,9.59370534967899e-23,0.0242765865323423,0.0849673412752684,0.00663755887034509,0.0254528301956593,0.0403558928163945,0.0515693256910467,1.44740990154555e-24,0.104720251443076,3.33662788620928e-24,0.0799973804277651,0.0568240102533491,0.525085986289678
2018-07-01,4.81038828609386e-23,1.68476012824651e-22,1.96895678222595e-23,0.0273489868627894,0.11786410764079,5.47167225807055e-23,0.00207463827398599,0.0190692955978389,0.0697012367140785,0.0231346526218568,0.206132292036484,1.8850378833111e-22,0.0620663910285219,0.00158778541866214,0.471020613804994
2019-01-01,7.62692413878122e-23,1.13288326256409e-22,8.23934171542363e-23,0.0178936459893229,0.0763020766567957,0.00138143976542867,0.0014084295583076,0.0759794191261866,0.0196897985273519,0.0324849263428255,0.125109312272646,7.20953481033272e-23,0.0878193409521934,0.00771712457829816,0.554214486230644
2019-07-01,2.31268867570115e-23,2.59978128422126e-23,6.19714016965446e-23,0.00886993231729417,0.0737521327655302,0.000425245054990986,1.44375070838354e-22,0.0554971996931408,0.020387562380093,0.0649505227405476,0.0807398021781577,0.0221854867899099,0.13400766479252,0.00628038547974648,0.532904065808069
2020-01-01,3.26890011244496e-23,2.09099221901959e-23,7.58915550676834e-24,0.0358150798137477,0.053314124914015,0.0142872724793033,1.92943941558875e-23,0.0459487486135886,0.036281170762392,0.0658727626824904,0.050013617862136,0.0233015126215727,0.140064347909499,0.0127025185960809,0.522398843745175
2020-07-01,0.00435316199624032,9.50765229264535e-25,1.35464395238041e-24,0.0348682562952792,0.0355036910872856,0.0124432611437079,6.03842875330046e-25,0.0627061319679471,6.96328071712783e-25,3.90634491066005e-25,1.03804442956073e-22,0.0535151472864215,3.66114891978748e-25,0.0223591619336043,0.774251188289514
2021-01-01,0.031668306315728,2.27682456221857e-19,0.0227592235195314,0.0122611522720499,0.0428631521402509,0.00504261184693497,5.1653184031533e-19,3.76624393864308e-20,0.00938331636647537,7.08105008451807e-19,0.00247066457404601,0.0747343129279076,1.27768726950902e-19,0.00963719785705116,0.789180062180025
2021-07-01,0.038728979492101,1.32760525452295e-19,0.00256748747524885,0.00160403354023487,0.059294699861434,3.53657397348087e-20,4.06575814968015e-21,8.04100724548693e-20,4.84833779504857e-20,5.97237622746117e-20,9.43483473662442e-21,0.028863119780646,9.97697393588788e-21,1.46237228158153e-19,0.868941679850336
2022-01-01,0.0232316601382592,3.21875411008624e-18,4.08449929271775e-18,1.12323345069498e-16,0.0576563246100111,6.92194351602156e-19,2.66098943892362e-18,6.83518116607507e-19,1.50342344404234e-18,5.06437219189777e-17,3.46944695195361e-18,0.0451953945834562,3.17634063387079e-19,8.67361737988404e-18,0.873916620668273
2022-07-01,0.0287456752642166,5.41942838793556e-23,6.26061214758781e-24,0.0559429938388936,0.0326913928867348,0.00342471400112452,9.11539309550807e-24,1.43962176403503e-24,1.71535916432238e-23,3.18296255892424e-23,0.0620453885473124,0.136364497713024,1.55481576639159e-23,0.0522500446580984,0.628535293090596
2023-01-01,2.18772043284536e-25,2.18316114159232e-22,1.26684595404548e-23,0.123789767623611,0.0476365458614515,2.16833119104391e-22,9.9066281085115e-23,7.42544019787365e-24,1.91050620418013e-22,1.1057457057076e-21,0.127348671714375,0.122623190933284,0.000940574649365734,0.100792463193572,0.476868786024342
2023-07-01,9.13679578413714e-22,0.088298530549449,2.00527373746039e-21,0.0540305160101285,0.0187002572896235,8.93303363454267e-23,1.59260831683103e-23,5.65584921887481e-22,4.24268458970265e-22,5.7968583709168e-24,0.0390735760593166,0.193385435591118,3.35037170075739e-22,0.200662583693003,0.405849100807361
2024-01-01,7.90727063470742e-24,0.118100150042671,1.77068042059958e-25,0.0259930221562164,0.0158028733926658,0.00582650643651925,3.79909508127067e-24,2.09021701838866e-24,2.46840674446728e-24,0.00226287626598227,0.00841195575904995,0.186557072928262,1.43421373203855e-24,0.242999355494208,0.394046187524426
2024-07-01,1.01336826817849e-22,0.0594886565215447,0.00326804707611233,0.0177362834772563,0.0215200690803626,0.0322879074203567,0.00435971710744246,3.02560681453389e-24,3.17548658523817e-24,3.34666105591968e-23,0.021601153033536,0.172461635793232,0.00546022122450924,0.189066755041501,0.472749554224147
2025-01-01,5.0718200790802e-24,0.034000776012508,5.43106166413159e-24,8.18260571071678e-24,0.0181883968283062,0.0310558430819238,1.05465528100509e-24,9.21368039287847e-25,1.51123782244307e-23,5.41688694943685e-23,2.64697786733551e-23,0.161860408170179,0.0286554401742127,0.0971570954112245,0.629082040321646
2025-07-01,2.6226954734503e-23,0.0200910980330179,1.15084829501374e-23,3.5149751981573e-22,0.00752279347658626,0.0342194651300832,1.0443155156401e-23,1.61756214200155e-23,3.55930396868123e-23,1.57856780772794e-23,8.79273572367277e-24,0.109941842557419,0.00617138531202074,0.0172720588798973,0.804781356610977
