"Strategy","Initial","Final","Cumulative_Return","Annual_Return","Sharpe_Ratio","Max_Drawdown","Alpha","Info_Ratio","Win_Rate"
"Max_Return",480000,2287009.34966681,3.76460281180585,0.215495451014924,0.491015578460321,-0.390622307836476,0.0835850101790778,0.271249474241615,0.5625
"Min_Risk",480000,1235113.22503217,1.57315255215035,0.125403319514197,1.00881404376223,-0.0382781919843723,-0.00650712132164921,-0.0851072975770095,0.5
"Trade_Off",480000,1933598.90944034,3.02833106133405,0.190256726232219,0.501623491693882,-0.327459824971784,0.0583462853963737,0.226806770651027,0.375
"Equal_Weight",480000,2558577.90822723,4.33037064214005,0.232663896289736,1.41487895884032,-0.109847156089378,0.10075345545389,0.905871876798545,0.8125
"DCA",480000,1240469.37281786,1.58431119337054,0.1260122131971,1.19672401777576,-0.0900193328660593,-0.00589822763874626,0.675810982244498,0.8125
"Benchmark",480000,1293414.61698175,1.69461378537864,0.131910440835846,0.730617870713388,-0.200163018775994,NA,NA,NA
