"Stock","Stock_Name","Max_Return","Min_Risk","Trade_Off","Equal_Weight"
"2330.TW","台積電",0.0627680410572851,0.00792048645040907,0.0971944537243554,0.0666666666666667
"2317.TW","鴻海",0.00852415292218374,0.0200057529602666,0.0120498524465904,0.0666666666666667
"2454.TW","聯發科",0.153280889373165,0.00178717237943079,0.106345742968113,0.0666666666666667
"3231.TW","緯創",0.187049159583869,0.0275268910455729,0.153224415495363,0.0666666666666667
"2357.TW","華碩",0.0563045647122827,0.0477237487354444,0.065490978364355,0.0666666666666667
"2379.TW","瑞昱",0.143109090765308,0.0091894890769199,0.111071673085017,0.0666666666666667
"2327.TW","國巨",0.146695377459758,0.00208097594596221,0.112583217807725,0.0666666666666667
"2881.TW","富邦金",0.0117373395199623,0.0187222929884435,0.0182863576965025,0.0666666666666667
"2891.TW","中信金",0.0215618869140233,0.0129382756525898,0.0451337712036687,0.0666666666666667
"2885.TW","元大金",0.00772486951796941,0.0117941087908564,0.0164876376685352,0.0666666666666667
"2890.TW","永豐金",0.0726255534985392,0.0517291678425084,0.0996478945272831,0.0666666666666667
"1102.TW","亞泥",0.025066345834368,0.0831868161047769,0.0550799405176347,0.0666666666666667
"2618.TW","長榮航",0.0749207512775424,0.034073921654413,0.0600299890132341,0.0666666666666667
"1216.TW","統一",0.010162189413509,0.0635817837805185,0.012131790908922,0.0666666666666667
"2412.TW","中華電",0.0184697886891981,0.607739116591888,0.0352422845727031,0.0666666666666667
